GCA_Accession	Assembly_Accession	Assembly_Name	Organism	Genus	Species	TaxID	Assembly_Level	Total_Length	Contig_N50	Scaffold_N50	BioProject	BioSample	Submission_Date	Release_Date	File_Size_MB	Filename
GCA_946222085.1	GCA_946222085.1	3Hm4tHDTMw_bin.46.MAG	uncultured Deinococcus sp. (bacteria)	Unknown	uncultured Deinococcus sp.	158789	Contig	0	26371	26371	Unknown	SAMEA110089194	2022/09/12 00:00	Unknown	2.35	GCA_946222085.1_3Hm4tHDTMw_bin.46.MAG_genomic.fna.gz
GCA_026672495.1	GCA_026672495.1	ASM2667249v1	Deinococcus sp. SL84 (bacteria)	Unknown	Deinococcus sp. SL84	2994663	Contig	0	2142955	2142955	Unknown	SAMN31669899	2022/12/05 00:00	Unknown	0.87	GCA_026672495.1_ASM2667249v1_genomic.fna.gz
GCA_002198095.1	GCA_002198095.1	ASM219809v1	Deinococcus indicus (bacteria)	Unknown	Deinococcus indicus	223556	Scaffold	0	240435	240435	Unknown	SAMN07142156	2017/06/19 00:00	Unknown	1.2	GCA_002198095.1_ASM219809v1_genomic.fna.gz
GCA_039539825.1	GCA_039539825.1	ASM3953982v1	Deinococcus aetherius (bacteria)	Unknown	Deinococcus aetherius	200252	Contig	0	162349	162349	Unknown	SAMD00645659	2024/02/23 00:00	Unknown	2.32	GCA_039539825.1_ASM3953982v1_genomic.fna.gz
GCA_036543075.1	GCA_036543075.1	ASM3654307v1	Deinococcus lichenicola (bacteria)	Unknown	Deinococcus lichenicola	3118910	Contig	0	144246	144246	Unknown	SAMN39755078	2024/02/11 00:00	Unknown	1.11	GCA_036543075.1_ASM3654307v1_genomic.fna.gz
GCA_004801415.1	GCA_004801415.1	ASM480141v1	Deinococcus sp. KSM4-11 (bacteria)	Unknown	Deinococcus sp. KSM4-11	2568654	Contig	0	492986	492986	Unknown	SAMN11398951	2019/04/20 00:00	Unknown	1.24	GCA_004801415.1_ASM480141v1_genomic.fna.gz
GCA_004115945.1	GCA_004115945.1	ASM411594v1	Deinococcus metallilatus (bacteria)	Unknown	Deinococcus metallilatus	1211322	Contig	0	246168	246168	Unknown	SAMN10769378	2019/01/28 00:00	Unknown	1.1	GCA_004115945.1_ASM411594v1_genomic.fna.gz
GCA_031455885.1	GCA_031455885.1	ASM3145588v1	Deinococcus soli (ex Cha et al. 2016) (bacteria)	Unknown	Deinococcus soli (ex Cha et al. 2016)	1309411	Contig	0	321217	321217	Unknown	SAMN35309394	2023/09/13 00:00	Unknown	1.39	GCA_031455885.1_ASM3145588v1_genomic.fna.gz
GCA_028622095.1	GCA_028622095.1	ASM2862209v1	Deinococcus aquaticus (bacteria)	Unknown	Deinococcus aquaticus	328692	Complete Genome	0	3131215	3131215	Unknown	SAMN28554701	2023/02/14 00:00	Unknown	1.05	GCA_028622095.1_ASM2862209v1_genomic.fna.gz
GCA_013337115.1	GCA_013337115.1	ASM1333711v1	Deinococcus sp. JMULE3 (bacteria)	Unknown	Deinococcus sp. JMULE3	2518341	Contig	0	3281798	3281798	Unknown	SAMN10909634	2020/06/12 00:00	Unknown	1.14	GCA_013337115.1_ASM1333711v1_genomic.fna.gz
GCA_006335125.1	GCA_006335125.1	ASM633512v1	Deinococcus radiopugnans ATCC 19172 (bacteria)	Unknown	Deinococcus radiopugnans	585398	Contig	0	173302	173302	Unknown	SAMN11962656	2019/06/12 00:00	Unknown	1.19	GCA_006335125.1_ASM633512v1_genomic.fna.gz
GCA_014653275.1	GCA_014653275.1	ASM1465327v1	Deinococcus piscis (bacteria)	Unknown	Deinococcus piscis	394230	Scaffold	0	63639	63639	Unknown	SAMD00245115	2020/09/11 00:00	Unknown	0.78	GCA_014653275.1_ASM1465327v1_genomic.fna.gz
GCA_965136095.1	GCA_965136095.1	CIP104750T	Deinococcus radiodurans (bacteria)	Unknown	Deinococcus radiodurans	1299	Scaffold	0	37133	37185	Unknown	SAMEA117660329	2025/02/12 00:00	Unknown	0.9	GCA_965136095.1_CIP104750T_genomic.fna.gz
GCA_020889625.1	GCA_020889625.1	ASM2088962v1	Deinococcus radiophilus (bacteria)	Unknown	Deinococcus radiophilus	32062	Complete Genome	0	2152572	2152572	Unknown	SAMN22895843	2021/11/19 00:00	Unknown	0.79	GCA_020889625.1_ASM2088962v1_genomic.fna.gz
GCA_000317835.1	GCA_000317835.1	ASM31783v1	Deinococcus peraridilitoris DSM 19664 (bacteria)	Unknown	Deinococcus peraridilitoris	937777	Complete Genome	0	3881839	3881839	Unknown	SAMN02261392	2012/12/10 00:00	Unknown	1.26	GCA_000317835.1_ASM31783v1_genomic.fna.gz
GCA_014875965.1	GCA_014875965.1	ASM1487596v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	45580	45580	Unknown	SAMN16242083	2020/10/10 00:00	Unknown	0.99	GCA_014875965.1_ASM1487596v1_genomic.fna.gz
GCA_014647175.1	GCA_014647175.1	ASM1464717v1	Deinococcus daejeonensis (bacteria)	Unknown	Deinococcus daejeonensis	1007098	Contig	0	183604	183604	Unknown	SAMD00245263	2020/09/12 00:00	Unknown	2.09	GCA_014647175.1_ASM1464717v1_genomic.fna.gz
GCA_014875745.1	GCA_014875745.1	ASM1487574v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	66067	424308	Unknown	SAMN16242094	2020/10/10 00:00	Unknown	0.94	GCA_014875745.1_ASM1487574v1_genomic.fna.gz
GCA_000800395.1	GCA_000800395.1	ASM80039v1	Deinococcus radiopugnans (bacteria)	Unknown	Deinococcus radiopugnans	57497	Complete Genome	0	3531443	3531443	Unknown	SAMN03218061	2014/12/09 00:00	Unknown	0.97	GCA_000800395.1_ASM80039v1_genomic.fna.gz
GCA_964277665.1	GCA_964277665.1	SP67_2_metabat2_genome_mining.16	uncultured Deinococcus sp. (bacteria)	Unknown	uncultured Deinococcus sp.	158789	Contig	0	14857	14857	Unknown	SAMEA8944001	2024/10/19 00:00	Unknown	0.89	GCA_964277665.1_SP67_2_metabat2_genome_mining.16_genomic.fna.gz
GCA_001638825.1	GCA_001638825.1	ASM163882v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Complete Genome	0	2646742	2646742	Unknown	SAMN04562548	2016/05/06 00:00	Unknown	0.92	GCA_001638825.1_ASM163882v1_genomic.fna.gz
GCA_000599865.1	GCA_000599865.1	Deiph1P10ME_08-2013_v01	Deinococcus phoenicis (bacteria)	Unknown	Deinococcus phoenicis	1476583	Contig	0	89525	89525	Unknown	SAMN02690678	2014/03/24 00:00	Unknown	1.04	GCA_000599865.1_Deiph1P10ME_08-2013_v01_genomic.fna.gz
GCA_000708185.1	GCA_000708185.1	ASM70818v1	Deinococcus sp. RL (bacteria)	Unknown	Deinococcus sp. RL	1489678	Contig	0	74757	74757	Unknown	SAMN02746165	2014/06/16 00:00	Unknown	0.76	GCA_000708185.1_ASM70818v1_genomic.fna.gz
GCA_900109185.1	GCA_900109185.1	IMG-taxon 2617270904 annotated assembly	Deinococcus reticulitermitis (bacteria)	Unknown	Deinococcus reticulitermitis	856736	Scaffold	0	145391	145391	Unknown	SAMN04488058	2016/10/31 00:00	Unknown	0.96	GCA_900109185.1_IMG-taxon_2617270904_annotated_assembly_genomic.fna.gz
GCA_014653295.1	GCA_014653295.1	ASM1465329v1	Deinococcus indicus (bacteria)	Unknown	Deinococcus indicus	223556	Contig	0	185726	185726	Unknown	SAMD00245116	2020/09/12 00:00	Unknown	1.18	GCA_014653295.1_ASM1465329v1_genomic.fna.gz
GCA_009755355.1	GCA_009755355.1	ASM975535v1	Deinococcus arboris (bacteria)	Unknown	Deinococcus arboris	2682977	Contig	0	113843	113843	Unknown	SAMN13451387	2019/12/14 00:00	Unknown	1.32	GCA_009755355.1_ASM975535v1_genomic.fna.gz
GCA_011067105.1	GCA_011067105.1	ASM1106710v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Complete Genome	0	2857585	2857585	Unknown	SAMN14178249	2020/03/07 00:00	Unknown	0.95	GCA_011067105.1_ASM1106710v1_genomic.fna.gz
GCA_000186385.1	GCA_000186385.1	ASM18638v1	Deinococcus maricopensis DSM 21211 (bacteria)	Unknown	Deinococcus maricopensis	709986	Complete Genome	0	3498530	3498530	Unknown	SAMN00713579	2011/01/20 00:00	Unknown	0.94	GCA_000186385.1_ASM18638v1_genomic.fna.gz
GCA_014646915.1	GCA_014646915.1	ASM1464691v1	Deinococcus aquiradiocola (bacteria)	Unknown	Deinococcus aquiradiocola	393059	Scaffold	0	249433	262354	Unknown	SAMD00245247	2020/09/12 00:00	Unknown	1.12	GCA_014646915.1_ASM1464691v1_genomic.fna.gz
GCA_020984865.1	GCA_020984865.1	ASM2098486v1	Deinococcus sp. 6GRE01 (bacteria)	Unknown	Deinococcus sp. 6GRE01	2745873	Contig	0	8947	8947	Unknown	SAMN15294739	2021/11/24 00:00	Unknown	1.99	GCA_020984865.1_ASM2098486v1_genomic.fna.gz
GCA_054352855.1	GCA_054352855.1	ASM5435285v1	Deinococcus sp. PEB2-67 (bacteria)	Unknown	Deinococcus sp. PEB2-67	3568619	Complete Genome	0	3286119	3286119	Unknown	SAMN54354902	2026/01/05 00:00	Unknown	1.18	GCA_054352855.1_ASM5435285v1_genomic.fna.gz
GCA_039522025.1	GCA_039522025.1	ASM3952202v1	Deinococcus depolymerans (bacteria)	Unknown	Deinococcus depolymerans	392408	Scaffold	0	184048	184048	Unknown	SAMD00644949	2024/02/23 00:00	Unknown	1.0	GCA_039522025.1_ASM3952202v1_genomic.fna.gz
GCA_014875785.1	GCA_014875785.1	ASM1487578v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	84494	2136643	Unknown	SAMN16242092	2020/10/10 00:00	Unknown	0.96	GCA_014875785.1_ASM1487578v1_genomic.fna.gz
GCA_045062605.1	GCA_045062605.1	ASM4506260v1	Deinococcus sp. SM5_A1 (bacteria)	Unknown	Deinococcus sp. SM5_A1	3379094	Contig	0	49768	49768	Unknown	SAMN44693861	2024/11/19 00:00	Unknown	1.14	GCA_045062605.1_ASM4506260v1_genomic.fna.gz
GCA_053878665.1	GCA_053878665.1	ASM5387866v1	Deinococcus wulumuqiensis (bacteria)	Unknown	Deinococcus wulumuqiensis	980427	Contig	0	2781713	2781713	Unknown	SAMN50612395	2025/12/08 00:00	Unknown	0.94	GCA_053878665.1_ASM5387866v1_genomic.fna.gz
GCA_014875855.1	GCA_014875855.1	ASM1487585v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	118540	2869672	Unknown	SAMN16242089	2020/10/10 00:00	Unknown	0.97	GCA_014875855.1_ASM1487585v1_genomic.fna.gz
GCA_002897375.1	GCA_002897375.1	ASM289737v1	Deinococcus aerius (bacteria)	Unknown	Deinococcus aerius	200253	Contig	0	237081	237081	Unknown	SAMD00106315	2018/01/17 00:00	Unknown	1.23	GCA_002897375.1_ASM289737v1_genomic.fna.gz
GCA_039539945.1	GCA_039539945.1	ASM3953994v1	Deinococcus rubellus (bacteria)	Unknown	Deinococcus rubellus	1889240	Contig	0	64570	64570	Unknown	SAMD00645665	2024/02/23 00:00	Unknown	2.03	GCA_039539945.1_ASM3953994v1_genomic.fna.gz
GCA_018863415.1	GCA_018863415.1	ASM1886341v1	Deinococcus aestuarii (bacteria)	Unknown	Deinococcus aestuarii	2774531	Contig	0	164117	164117	Unknown	SAMN16095329	2021/06/13 00:00	Unknown	1.37	GCA_018863415.1_ASM1886341v1_genomic.fna.gz
GCA_039545155.1	GCA_039545155.1	ASM3954515v1	Deinococcus aluminii (bacteria)	Unknown	Deinococcus aluminii	1656885	Contig	0	474969	474969	Unknown	SAMD00543389	2024/03/26 00:00	Unknown	1.0	GCA_039545155.1_ASM3954515v1_genomic.fna.gz
GCA_039544915.1	GCA_039544915.1	ASM3954491v1	Deinococcus aquaticus (bacteria)	Unknown	Deinococcus aquaticus	328692	Contig	0	165476	165476	Unknown	SAMD00539838	2024/03/26 00:00	Unknown	1.06	GCA_039544915.1_ASM3954491v1_genomic.fna.gz
GCA_014647655.1	GCA_014647655.1	ASM1464765v1	Deinococcus malanensis (bacteria)	Unknown	Deinococcus malanensis	1706855	Scaffold	0	184195	219304	Unknown	SAMD00245293	2020/09/12 00:00	Unknown	2.37	GCA_014647655.1_ASM1464765v1_genomic.fna.gz
GCA_020984805.1	GCA_020984805.1	ASM2098480v1	Deinococcus sp. 23YEL01 (bacteria)	Unknown	Deinococcus sp. 23YEL01	2745871	Contig	0	8830	8830	Unknown	SAMN15294737	2021/11/24 00:00	Unknown	1.06	GCA_020984805.1_ASM2098480v1_genomic.fna.gz
GCA_000008565.1	GCA_000008565.1	ASM856v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Complete Genome	0	2648638	2648638	Unknown	SAMN02603976	2001/09/28 00:00	Unknown	0.9	GCA_000008565.1_ASM856v1_genomic.fna.gz
GCA_045784305.1	GCA_045784305.1	DRML_24019	Deinococcus radiomollis (bacteria)	Unknown	Deinococcus radiomollis	468916	Complete Genome	0	3359782	3359782	Unknown	SAMN36368281	2024/12/07 00:00	Unknown	1.61	GCA_045784305.1_DRML_24019_genomic.fna.gz
GCA_000419625.1	GCA_000419625.1	ASM41962v1	Deinococcus ficus (bacteria)	Unknown	Deinococcus ficus	317577	Contig	0	2835652	2835652	Unknown	SAMN02441593	2013/07/09 00:00	Unknown	1.08	GCA_000419625.1_ASM41962v1_genomic.fna.gz
GCA_025244745.1	GCA_025244745.1	ASM2524474v1	Deinococcus rubellus (bacteria)	Unknown	Deinococcus rubellus	1889240	Complete Genome	0	3041811	3041811	Unknown	SAMN30629421	2022/09/17 00:00	Unknown	0.84	GCA_025244745.1_ASM2524474v1_genomic.fna.gz
GCA_042685025.1	GCA_042685025.1	ASM4268502v1	Deinococcus taklimakanensis (bacteria)	Unknown	Deinococcus taklimakanensis	536443	Scaffold	0	61383	70713	Unknown	SAMN43282403	2024/10/07 00:00	Unknown	0.87	GCA_042685025.1_ASM4268502v1_genomic.fna.gz
GCA_000687895.1	GCA_000687895.1	ASM68789v1	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539 (bacteria)	Unknown	Deinococcus radiodurans	243230	Contig	0	150793	150793	Unknown	SAMN02743895	2014/04/08 00:00	Unknown	0.89	GCA_000687895.1_ASM68789v1_genomic.fna.gz
GCA_031427295.1	GCA_031427295.1	ASM3142729v1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Contig	0	8061	8061	Unknown	SAMN29840764	2023/09/12 00:00	Unknown	0.89	GCA_031427295.1_ASM3142729v1_genomic.fna.gz
GCA_020984815.1	GCA_020984815.1	ASM2098481v1	Deinococcus sp. 6YEL10 (bacteria)	Unknown	Deinococcus sp. 6YEL10	2745870	Contig	0	10555	10555	Unknown	SAMN15294736	2021/11/24 00:00	Unknown	2.26	GCA_020984815.1_ASM2098481v1_genomic.fna.gz
GCA_042431605.1	GCA_042431605.1	ASM4243160v1	Deinococcus oregonensis (bacteria)	Unknown	Deinococcus oregonensis	1805970	Scaffold	0	141585	141585	Unknown	SAMN43281683	2024/09/28 00:00	Unknown	1.58	GCA_042431605.1_ASM4243160v1_genomic.fna.gz
GCA_046774955.1	GCA_046774955.1	ASM4677495v1	Deinococcus yunweiensis (bacteria)	Unknown	Deinococcus yunweiensis	367282	Complete Genome	0	3915113	3915113	Unknown	SAMN46065655	2025/01/21 00:00	Unknown	1.29	GCA_046774955.1_ASM4677495v1_genomic.fna.gz
GCA_030161515.1	GCA_030161515.1	ASM3016151v1	Deinococcus metallilatus (bacteria)	Unknown	Deinococcus metallilatus	1211322	Contig	0	316924	316924	Unknown	SAMD00582106	2023/03/24 00:00	Unknown	2.07	GCA_030161515.1_ASM3016151v1_genomic.fna.gz
GCA_014201805.1	GCA_014201805.1	ASM1420180v1	Deinococcus metalli (bacteria)	Unknown	Deinococcus metalli	1141878	Contig	0	338599	338599	Unknown	SAMN14908283	2020/08/14 00:00	Unknown	1.33	GCA_014201805.1_ASM1420180v1_genomic.fna.gz
GCA_014647435.1	GCA_014647435.1	ASM1464743v1	Deinococcus radiotolerans (bacteria)	Unknown	Deinococcus radiotolerans	1309407	Contig	0	204519	204519	Unknown	SAMD00245277	2020/09/12 00:00	Unknown	1.25	GCA_014647435.1_ASM1464743v1_genomic.fna.gz
GCA_009834985.1	GCA_009834985.1	ASM983498v1	Deinococcus xianganensis (bacteria)	Unknown	Deinococcus xianganensis	1507289	Scaffold	0	38576	40195	Unknown	SAMN13351212	2020/01/08 00:00	Unknown	1.14	GCA_009834985.1_ASM983498v1_genomic.fna.gz
GCA_004353485.1	GCA_004353485.1	ASM435348v1	Deinococcus sp. S9 (bacteria)	Unknown	Deinococcus sp. S9	2545754	Contig	0	111497	111497	Unknown	SAMN11053996	2019/03/15 00:00	Unknown	0.93	GCA_004353485.1_ASM435348v1_genomic.fna.gz
GCA_965247785.1	GCA_965247785.1	glEphLana1.Deinococcus_sp_2.1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Complete Genome	0	3392314	3392314	Unknown	SAMEA117994176	2025/04/21 00:00	Unknown	1.11	GCA_965247785.1_glEphLana1.Deinococcus_sp_2.1_genomic.fna.gz
GCA_024171495.1	GCA_024171495.1	ASM2417149v1	Deinococcus sp. HSC-46F16 (bacteria)	Unknown	Deinococcus sp. HSC-46F16	2910968	Contig	0	390911	390911	Unknown	SAMN25026407	2022/07/06 00:00	Unknown	0.86	GCA_024171495.1_ASM2417149v1_genomic.fna.gz
GCA_000745175.1	GCA_000745175.1	ASM74517v1	Deinococcus sp. YIM 77859 (bacteria)	Unknown	Deinococcus sp. YIM 77859	1540221	Contig	0	2636324	2636324	Unknown	SAMN02745160	2014/08/28 00:00	Unknown	0.87	GCA_000745175.1_ASM74517v1_genomic.fna.gz
GCA_014875905.1	GCA_014875905.1	ASM1487590v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	13913	17324	Unknown	SAMN16242086	2020/10/10 00:00	Unknown	0.94	GCA_014875905.1_ASM1487590v1_genomic.fna.gz
GCA_003345215.1	GCA_003345215.1	ASM334521v1	Deinococcus wulumuqiensis (bacteria)	Unknown	Deinococcus wulumuqiensis	980427	Complete Genome	0	2658929	2658929	Unknown	SAMN09695691	2018/07/30 00:00	Unknown	1.03	GCA_003345215.1_ASM334521v1_genomic.fna.gz
GCA_014645595.1	GCA_014645595.1	ASM1464559v1	Deinococcus wulumuqiensis (bacteria)	Unknown	Deinococcus wulumuqiensis	980427	Scaffold	0	25374	84852	Unknown	SAMD00245160	2020/09/12 00:00	Unknown	0.94	GCA_014645595.1_ASM1464559v1_genomic.fna.gz
GCA_020229735.1	GCA_020229735.1	ASM2022973v1	Deinococcus taeanensis (bacteria)	Unknown	Deinococcus taeanensis	2737050	Complete Genome	0	2855189	2855189	Unknown	SAMN21422229	2021/10/04 00:00	Unknown	1.26	GCA_020229735.1_ASM2022973v1_genomic.fna.gz
GCA_008329785.1	GCA_008329785.1	ASM832978v1	Deinococcus radiodurans (bacteria)	Unknown	Deinococcus radiodurans	1299	Complete Genome	0	2647538	2647538	Unknown	SAMN09743852	2019/09/09 00:00	Unknown	0.9	GCA_008329785.1_ASM832978v1_genomic.fna.gz
GCA_025362455.1	GCA_025362455.1	ASM2536245v1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Contig	0	19978	19978	Unknown	SAMN30205778	2022/09/21 00:00	Unknown	1.03	GCA_025362455.1_ASM2536245v1_genomic.fna.gz
GCA_020166415.1	GCA_020166415.1	ASM2016641v1	Deinococcus multiflagellatus (bacteria)	Unknown	Deinococcus multiflagellatus	1656887	Contig	0	163165	163165	Unknown	SAMN20982218	2021/09/25 00:00	Unknown	2.46	GCA_020166415.1_ASM2016641v1_genomic.fna.gz
GCA_003966215.1	GCA_003966215.1	ASM396621v1	Deinococcus radiophilus (bacteria)	Unknown	Deinococcus radiophilus	32062	Contig	0	77319	77319	Unknown	SAMN10585556	2018/12/23 00:00	Unknown	0.78	GCA_003966215.1_ASM396621v1_genomic.fna.gz
GCA_004801315.1	GCA_004801315.1	ASM480131v1	Deinococcus sp. Arct2-2 (bacteria)	Unknown	Deinococcus sp. Arct2-2	2568653	Contig	0	64271	64271	Unknown	SAMN11398288	2019/04/20 00:00	Unknown	1.31	GCA_004801315.1_ASM480131v1_genomic.fna.gz
GCA_913778565.1	GCA_913778565.1	SP266_2_metabat2_genome_mining.38	uncultured Deinococcus sp. (bacteria)	Unknown	uncultured Deinococcus sp.	158789	Contig	0	37378	37378	Unknown	SAMEA8944558	2021/11/12 00:00	Unknown	0.96	GCA_913778565.1_SP266_2_metabat2_genome_mining.38_genomic.fna.gz
GCA_014646895.1	GCA_014646895.1	ASM1464689v1	Deinococcus roseus (bacteria)	Unknown	Deinococcus roseus	392414	Scaffold	0	138506	181530	Unknown	SAMD00245246	2020/09/12 00:00	Unknown	1.58	GCA_014646895.1_ASM1464689v1_genomic.fna.gz
GCA_030271215.1	GCA_030271215.1	ASM3027121v1	Deinococcus rhizophilus (bacteria)	Unknown	Deinococcus rhizophilus	3049544	Scaffold	0	14266	14805	Unknown	SAMN35341200	2023/06/13 00:00	Unknown	0.9	GCA_030271215.1_ASM3027121v1_genomic.fna.gz
GCA_000478785.1	GCA_000478785.1	R13	Deinococcus wulumuqiensis R13 (bacteria)	Unknown	Deinococcus wulumuqiensis	1403343	Contig	0	14748	14748	Unknown	SAMN02470569	2013/10/22 00:00	Unknown	0.9	GCA_000478785.1_R13_genomic.fna.gz
GCA_014648135.1	GCA_014648135.1	ASM1464813v1	Deinococcus sedimenti (bacteria)	Unknown	Deinococcus sedimenti	1867090	Contig	0	251576	251576	Unknown	SAMD00245321	2020/09/12 00:00	Unknown	1.2	GCA_014648135.1_ASM1464813v1_genomic.fna.gz
GCA_051857675.1	GCA_051857675.1	ASM5185767v1	Deinococcus aquaticus (bacteria)	Unknown	Deinococcus aquaticus	328692	Contig	0	25310	25310	Unknown	SAMN50220347	2025/08/06 00:00	Unknown	1.15	GCA_051857675.1_ASM5185767v1_genomic.fna.gz
GCA_000519345.1	GCA_000519345.1	ASM51934v1	Deinococcus pimensis DSM 21231 (bacteria)	Unknown	Deinococcus pimensis	926554	Scaffold	0	13596	118265	Unknown	SAMN02584908	2014/01/13 00:00	Unknown	1.27	GCA_000519345.1_ASM51934v1_genomic.fna.gz
GCA_014202095.1	GCA_014202095.1	ASM1420209v1	Deinococcus metallilatus (bacteria)	Unknown	Deinococcus metallilatus	1211322	Contig	0	316992	316992	Unknown	SAMN14908335	2020/08/14 00:00	Unknown	1.2	GCA_014202095.1_ASM1420209v1_genomic.fna.gz
GCA_014201875.1	GCA_014201875.1	ASM1420187v1	Deinococcus humi (bacteria)	Unknown	Deinococcus humi	662880	Contig	0	282091	282091	Unknown	SAMN14908269	2020/08/14 00:00	Unknown	1.6	GCA_014201875.1_ASM1420187v1_genomic.fna.gz
GCA_913776815.1	GCA_913776815.1	SP48_2_metabat2_genome_mining.34	uncultured Deinococcus sp. (bacteria)	Unknown	uncultured Deinococcus sp.	158789	Contig	0	22271	22271	Unknown	SAMEA8944516	2021/11/12 00:00	Unknown	0.91	GCA_913776815.1_SP48_2_metabat2_genome_mining.34_genomic.fna.gz
GCA_042656085.1	GCA_042656085.1	ASM4265608v1	Deinococcus petrolearius (bacteria)	Unknown	Deinococcus petrolearius	1751295	Scaffold	0	160348	160348	Unknown	SAMN43282794	2024/10/06 00:00	Unknown	1.03	GCA_042656085.1_ASM4265608v1_genomic.fna.gz
GCA_014875755.1	GCA_014875755.1	ASM1487575v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Scaffold	0	46493	455700	Unknown	SAMN16242093	2020/10/10 00:00	Unknown	1.0	GCA_014875755.1_ASM1487575v1_genomic.fna.gz
GCA_003583865.2	GCA_003583865.2	ASM358386v2	Deinococcus sp. RM (bacteria)	Unknown	Deinococcus sp. RM	2316359	Complete Genome	0	3199600	3199600	Unknown	SAMN10023131	2025/03/07 00:00	Unknown	1.1	GCA_003583865.2_ASM358386v2_genomic.fna.gz
GCA_054353055.1	GCA_054353055.1	ASM5435305v1	Deinococcus sp. PEB2-63 (bacteria)	Unknown	Deinococcus sp. PEB2-63	3568618	Complete Genome	0	3287387	3287387	Unknown	SAMN54354621	2026/01/05 00:00	Unknown	1.15	GCA_054353055.1_ASM5435305v1_genomic.fna.gz
GCA_014202645.1	GCA_014202645.1	ASM1420264v1	Deinobacterium chartae (bacteria)	Unknown	Deinobacterium chartae	521158	Scaffold	0	253008	253008	Unknown	SAMN14908534	2020/08/14 00:00	Unknown	1.03	GCA_014202645.1_ASM1420264v1_genomic.fna.gz
GCA_018260405.1	GCA_018260405.1	ASM1826040v1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Scaffold	0	24793	25865	Unknown	SAMN18543081	2021/05/04 00:00	Unknown	0.81	GCA_018260405.1_ASM1826040v1_genomic.fna.gz
GCA_014875975.1	GCA_014875975.1	ASM1487597v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Contig	0	38106	38106	Unknown	SAMN16242084	2020/10/10 00:00	Unknown	0.96	GCA_014875975.1_ASM1487597v1_genomic.fna.gz
GCA_014875815.1	GCA_014875815.1	ASM1487581v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Contig	0	2904890	2904890	Unknown	SAMN16242091	2020/10/10 00:00	Unknown	0.98	GCA_014875815.1_ASM1487581v1_genomic.fna.gz
GCA_003590815.1	GCA_003590815.1	ASM359081v1	Deinococcus cavernae (bacteria)	Unknown	Deinococcus cavernae	2320857	Contig	0	3136058	3136058	Unknown	SAMN10055681	2018/09/24 00:00	Unknown	1.26	GCA_003590815.1_ASM359081v1_genomic.fna.gz
GCA_000381345.1	GCA_000381345.1	ASM38134v1	Deinococcus apachensis DSM 19763 (bacteria)	Unknown	Deinococcus apachensis	1121377	Scaffold	0	186473	193107	Unknown	SAMN02441322	2013/04/24 00:00	Unknown	1.22	GCA_000381345.1_ASM38134v1_genomic.fna.gz
GCA_014653255.1	GCA_014653255.1	ASM1465325v1	Deinococcus ficus (bacteria)	Unknown	Deinococcus ficus	317577	Contig	0	122639	122639	Unknown	SAMD00245114	2020/09/12 00:00	Unknown	0.85	GCA_014653255.1_ASM1465325v1_genomic.fna.gz
GCA_014875845.1	GCA_014875845.1	ASM1487584v1	Deinococcus wulumuqiensis R12 (bacteria)	Unknown	Deinococcus wulumuqiensis	1288484	Contig	0	2857585	2857585	Unknown	SAMN16242090	2020/10/10 00:00	Unknown	0.95	GCA_014875845.1_ASM1487584v1_genomic.fna.gz
GCA_965218805.1	GCA_965218805.1	gpVerDitm2.Deinococcus_sp_2.1	Deinococcus sp. (bacteria)	Unknown	Deinococcus sp.	47478	Chromosome	0	3326445	3326445	Unknown	SAMEA117736094	2025/03/23 00:00	Unknown	1.23	GCA_965218805.1_gpVerDitm2.Deinococcus_sp_2.1_genomic.fna.gz
GCA_019091385.1	GCA_019091385.1	ASM1909138v1	Deinococcus sp. GbtcB9 (bacteria)	Unknown	Deinococcus sp. GbtcB9	2824754	Scaffold	0	176100	176100	Unknown	SAMN18679167	2021/07/02 00:00	Unknown	2.08	GCA_019091385.1_ASM1909138v1_genomic.fna.gz
